10330, 30483.4043, 0.2564, 0.3768
10359, 30503.0840, 0.2564, 0.3768
10453, 30536.8184, 0.2497, 0.2498
10476, 30566.2715, 0.2497, 0.2498
10566, 30617.1934, 0.2312, 0.2724
10617, 30711.3398, 0.2312, 0.2724
10709, 30755.9941, 0.2543, 0.2102
10763, 30811.1113, 0.2543, 0.2102
10849, 30855.0977, 0.2168, 0.1882
10896, 30904.5156, 0.2168, 0.1882
10992, 30910.4199, 0.2369, 0.1816
11011, 30920.0391, 0.2369, 0.1816
11108, 30947.2461, 0.2585, 0.1719
11139, 30952.4258, 0.2585, 0.1719
11228, 31026.4844, 0.2043, 0.1330
11310, 31096.7539, 0.2043, 0.1330
11406, 31104.1270, 0.1737, 0.1622
11425, 31110.2930, 0.1737, 0.1622
11516, 31124.7148, 0.1730, 0.1428
11566, 31138.4980, 0.1730, 0.1428
11664, 31164.4805, 0.1876, 0.1438
11683, 31203.6621, 0.1876, 0.1438
11778, 31219.4805, 0.1787, 0.1794
11804, 31224.9883, 0.1787, 0.1794
11899, 31229.1816, 0.1560, 0.1755
11924, 31232.9805, 0.1560, 0.1755
12013, 31263.8633, 0.1605, 0.0921
12050, 31278.7012, 0.1605, 0.0921
12146, 31286.1621, 0.1783, 0.0857
12176, 31317.0410, 0.1783, 0.0857
12267, 31331.4590, 0.1870, 0.0924
12323, 31361.1621, 0.1870, 0.0924
12420, 31372.4902, 0.1919, 0.0757
12466, 31400.0020, 0.1919, 0.0757
12554, 31426.4043, 0.1812, 0.0863
12595, 31427.5938, 0.1812, 0.0863
12687, 31441.4492, 0.2169, 0.0687
12747, 31460.9043, 0.2169, 0.0687
12841, 31481.7109, 0.2362, 0.0702
12876, 31531.0176, 0.2362, 0.0702
12970, 31552.2793, 0.2463, 0.0553
13015, 31603.5293, 0.2463, 0.0553
13107, 31628.2812, 0.2732, 0.0623
13169, 31661.0508, 0.2732, 0.0623
13260, 31705.3809, 0.3155, 0.0586
13326, 31826.0586, 0.3155, 0.0586
13420, 31852.3867, 0.3051, 0.0546
13463, 31894.0234, 0.3051, 0.0546
13554, 31958.2402, 0.2958, 0.0562
13628, 32013.7637, 0.2958, 0.0562
13722, 32036.5391, 0.3123, 0.0583
13768, 32069.6816, 0.3123, 0.0583
13861, 32104.3184, 0.3366, 0.0556
13903, 32199.2266, 0.3366, 0.0556
13991, 32295.8242, 0.3756, 0.0545
14097, 32385.3887, 0.3756, 0.0545
14188, 32425.7832, 0.4029, 0.0565
14232, 32516.6797, 0.4029, 0.0565
14324, 32555.6934, 0.4216, 0.0674
14388, 32622.6875, 0.4216, 0.0674
14475, 32674.6309, 0.4480, 0.0788
14547, 32713.7422, 0.4480, 0.0788
14637, 32806.8906, 0.4973, 0.0713
14679, 32892.5664, 0.4973, 0.0713
14766, 32969.3750, 0.5221, 0.0722
14841, 33031.8828, 0.5221, 0.0722
14932, 33088.6445, 0.5959, 0.0892
14988, 33169.9766, 0.5959, 0.0892
15080, 33290.2031, 0.5842, 0.0873
15135, 33438.8477, 0.5842, 0.0873
15223, 33598.8789, 0.6334, 0.0953
15282, 33698.0820, 0.6334, 0.0953
15368, 33832.9805, 0.6461, 0.0770
15420, 33885.2852, 0.6461, 0.0770
15514, 33935.9297, 0.6663, 0.0654
15560, 34116.1875, 0.6663, 0.0654
15647, 34199.1875, 0.6507, 0.0693
15742, 34329.6758, 0.6507, 0.0693
15835, 34346.5703, 0.6409, 0.0751
15865, 34369.1406, 0.6409, 0.0751
15956, 34461.3984, 0.7644, 0.0670
16007, 34640.5664, 0.7644, 0.0670
16094, 34876.8477, 0.7671, 0.0705
16183, 35277.5469, 0.7671, 0.0705
16272, 35407.4961, 0.8356, 0.0734
16330, 35566.9805, 0.8356, 0.0734
16418, 35802.1680, 0.9513, 0.0747
16513, 36074.9180, 0.9513, 0.0747
16609, 36193.6367, 1.0969, 0.0798
16650, 36364.0742, 1.0969, 0.0798
16740, 36450.9062, 1.2674, 0.0794
16794, 36549.8477, 1.2674, 0.0794
16887, 36610.6758, 1.1183, 0.0875
16935, 36654.6875, 1.1183, 0.0875
17028, 36830.7305, 1.2381, 0.0826
17096, 37038.3633, 1.2381, 0.0826
17190, 37091.3867, 1.3508, 0.0953
17243, 37184.9414, 1.3508, 0.0953
17336, 37209.6992, 1.5566, 0.1042
17370, 37305.6875, 1.5566, 0.1042
17464, 37384.0508, 1.5888, 0.1184
17507, 37508.3359, 1.5888, 0.1184
17603, 37547.5352, 1.5794, 0.1302
17636, 37652.9102, 1.5794, 0.1302
17731, 37677.1797, 1.4260, 0.1276
17756, 37699.0547, 1.4260, 0.1276
17851, 37715.2344, 1.4471, 0.1133
17868, 37744.1914, 1.4471, 0.1133
17963, 37782.3789, 1.4754, 0.0984
17981, 37849.8398, 1.4754, 0.0984
18078, 37904.9688, 1.3654, 0.0969
18090, 37967.7891, 1.3654, 0.0969
18178, 38036.7891, 1.4812, 0.0656
18232, 38126.5508, 1.4812, 0.0656
18321, 38199.5898, 1.4905, 0.0529
18390, 38399.3438, 1.4905, 0.0529
18481, 38461.5781, 1.7544, 0.0525
18546, 38549.0547, 1.7544, 0.0525
18639, 38628.1445, 1.8524, 0.0478
18703, 38862.2773, 1.8524, 0.0478
18798, 38918.0469, 2.0764, 0.0413
18840, 39032.3359, 2.0764, 0.0413
18932, 39130.1094, 2.2023, 0.0471
18978, 39302.0195, 2.2023, 0.0471
19067, 39578.4141, 2.2107, 0.0413
19149, 39789.5312, 2.2107, 0.0413
19240, 39870.6719, 2.4958, 0.0385
19300, 39972.3828, 2.4958, 0.0385
19393, 40029.1055, 2.7677, 0.0451
19434, 40142.9805, 2.7677, 0.0451
19522, 40199.5195, 2.8300, 0.0411
